userId,username,first_name,last_name,email,password_hash,rol,fecha_creacion
1,user1,David,Downs,user1@example.com,e59b8079930668e1bbe4553ac712f769e76bb6860b06d7e312cf1e6702a94aa8,user,09/10/2023 07:53
2,user2,Robert,Davis,user2@example.com,5660fa8aedf91797711de248fc58178510786fcc575ddbc230031121691f83c0,user,29/12/2024 04:23
3,user3,Mary,Wells,user3@example.com,fd2a76860e1bfcd8961d44d967fb64a6f64ddf5df5280c9066d8bfb8229cdeed,user,07/06/2025 05:07
4,user4,Bethany,Harmon,user4@example.com,c50f4f5e2e53fa8d6ae274ce247de4b0a0f4d3ac1e91c492c9411f5bfd541760,user,10/01/2020 21:07
5,user5,Brenda,Meyers,user5@example.com,e33ee6d8d67511d4956a4e9c88a24ad540a8016c60b429031c1dd757fdc628bf,user,24/05/2022 18:32
6,user6,Yvonne,Jensen,user6@example.com,2d1f3fcbd5eb265f7eccec249d0c7615d8a946a6324ed6315be7e1adb51f7277,admin,17/02/2022 08:01
7,user7,Joe,Ferguson,user7@example.com,3d117ec76eb29f0252d8b527302b4ec158d9b1b269158188b0a74897eb1e9194,user,13/04/2023 06:34
8,user8,April,Gonzalez,user8@example.com,82cfc8b5cb361964fc5147ac2fdf1633fbf2ca4d7723779325b739187a7d5072,admin,18/05/2023 07:33
9,user9,Colton,Collins,user9@example.com,efd9567c2728e401d76e7ce51fcc9779a70553671bbec95162062d10150252fc,user,13/02/2023 22:28
10,user10,Joseph,Yang,user10@example.com,c50bab410f178ab5e861c5964dab1732d469ca58ccaaaea017d4a6eaefff98d5,admin,27/02/2023 08:50
11,user11,Michelle,Logan,user11@example.com,771014d93840d0f6edbf18f5c00880a3380a95ca6c7500e313072cba61398d33,user,18/03/2024 20:42
12,user12,Mary,Pollard,user12@example.com,25999f75124a9196c9fe96347a6a52c95be891fa1ba1c0d7d538d28a8849acff,admin,03/07/2024 11:13
13,user13,Gail,Harris,user13@example.com,cb599ed27ddeab6daeaf175ccd1824742c6cbe4a330a0a0f740b6891c84caf32,admin,10/04/2021 12:19
14,user14,Lauren,Fletcher,user14@example.com,56b40b32e803e62bf862ebcbac84d3f7a15c3f1058d3c9884d690937f3a13be2,user,09/06/2023 03:20
15,user15,Alan,Liu,user15@example.com,8f03292e37bab9d517ee81b07ce5898cdc7decb539befc4fe5ca6fe94627be8a,user,05/09/2020 10:24
